prior_scenario,tau_mean,tau_median,tau_lower,tau_upper,I2_mean,I2_median,I2_lower,I2_upper,scenario,n,effect_size
P3,0.17196839806118078,0.1314107969043203,0.005964510584048283,0.574688099927281,4.428039555935008,1.7101250956230087,0.003580308665808015,25.21954190688584,P3 - Moderate heterogeneity,24,0.5
P3,0.1662972416323007,0.12756721341345417,0.005755714180749588,0.5530461721389537,4.169388122418121,1.6131255342645103,0.0033398892059261632,23.707547128089026,P3 - Moderate heterogeneity,26,0.5
P3,0.15466681757957945,0.11830306142255202,0.005345390566908206,0.517225574104981,3.6766629143599143,1.390032297849185,0.002869160552864759,21.22464535379778,P3 - Moderate heterogeneity,28,0.5
P3,0.1571720114387539,0.12030786490088574,0.005445484421999203,0.5247226454099478,3.79633214548709,1.4355796252095359,0.0029727872863094173,21.882865060303413,P3 - Moderate heterogeneity,30,0.5
P3,0.26354477228637385,0.19958333562161107,0.008924229098008302,0.8907121717624809,9.11352184205315,3.952598934014802,0.008104582174480008,46.78118305511997,P3 - Moderate heterogeneity,6,0.2
P3,0.2390069484215623,0.18181484284581173,0.008180580648669833,0.8042470446137732,7.733515438430574,3.2839566859220746,0.006825312154472963,40.83485456689584,P3 - Moderate heterogeneity,8,0.2
P3,0.22141071168374907,0.16875367941800073,0.0076180134767955396,0.7446584391389763,6.8141161990931485,2.8179594616441532,0.005883499958751824,36.90016747848458,P3 - Moderate heterogeneity,10,0.2
P3,0.21092175691693593,0.1619126215470208,0.007347123896808831,0.7010657121112551,6.249052026821287,2.585529235832152,0.005442629121080847,33.85804927966106,P3 - Moderate heterogeneity,12,0.2
P3,0.2054300643985338,0.15710286533137213,0.007104562866120816,0.686599944710157,5.963716687423245,2.42946656255208,0.005057316728535411,32.71035180848458,P3 - Moderate heterogeneity,14,0.2
P3,0.1970479035200336,0.1510284998670155,0.006813915251993868,0.6572804936473362,5.559510105959845,2.244462527992407,0.004648511705022103,30.78640373995413,P3 - Moderate heterogeneity,16,0.2
P3,0.18993048818404198,0.1461890641545519,0.0066836894561427785,0.6292326397638344,5.235785500314971,2.1040354950118676,0.004466423840049706,29.02448346867736,P3 - Moderate heterogeneity,18,0.2
P3,0.1815712262087023,0.13991350372297678,0.006321362536274436,0.6000670754277347,4.840426174551704,1.9311111630653137,0.004004585144058987,26.951687576600758,P3 - Moderate heterogeneity,20,0.2
P3,0.1721362714722017,0.13299192059251208,0.006080034865168154,0.5678974047899595,4.426776715233897,1.7523068145808804,0.0037109937215549036,24.865393532197793,P3 - Moderate heterogeneity,22,0.2
P3,0.17166177986056586,0.1312811106610644,0.005934741760135613,0.5729563945034344,4.413214212419593,1.7055927034070433,0.0035430146681651752,25.097111555974266,P3 - Moderate heterogeneity,24,0.2
P3,0.16637997603694898,0.127725064417041,0.005789201006398973,0.5536861348773708,4.172828953300747,1.6175605834537334,0.0033790452519960896,23.745091958365254,P3 - Moderate heterogeneity,26,0.2
P3,0.15458067399824071,0.11839689708385445,0.0053964714034946265,0.5146516805690186,3.6685647873598577,1.3918340631177424,0.002934842842543479,21.07542664731398,P3 - Moderate heterogeneity,28,0.2
P3,0.1569979864360903,0.1202839678588104,0.005428047811551357,0.5228153254737289,3.7861827294739254,1.4343701898760257,0.0029581526965722004,21.77835528322868,P3 - Moderate heterogeneity,30,0.2
